,sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,mixins,crunch_factor
1486,0.29,4.4,510,26.0,146.0,0.9939,8.16,0.39,10.2,7,melted,15.2,chocolate,1.49
1487,0.3,2.0,390,43.0,188.0,0.9911,8.3,0.41,12.0,8,melted,14.4,chocolate,1.7
1488,0.4,5.5,370,34.0,161.0,0.9935,8.05,0.62,11.5,6,melted,14.8,"chocolate, oats",1.77
1489,0.3,5.2,480,38.0,113.0,0.99352,8.33,0.44,10.1,9,melted,13.4,"chocolate, oats",1.37
1490,0.24,9.9,580,25.0,115.0,0.99567,8.15,0.46,10.9,7,melted,15.0,chocolate,1.81
1491,0.21,5.0,420,17.0,133.0,0.99373,8.02,0.53,9.4,7,melted,12.2,raisins,1.9
1492,0.3,2.25,380,8.0,210.0,0.9937,8.2,0.62,9.9,8,melted,12.8,raisins,1.32
1493,0.27,10.1,560,38.0,187.0,0.99486,8.31,0.56,10.6,7,melted,12.4,raisins,1.6
1494,0.42,7.35,250,51.0,175.0,0.9928,8.04,0.32,11.4,8,melted,14.6,raisins,1.36
1495,0.24,2.2,790,19.0,58.0,0.9991,8.18,0.56,10.1,6,cubed,20.0,"nuts,raisins",1.32
1496,0.09,1.7,780,18.0,30.0,0.99402,8.45,0.54,11.2,6,cubed,12.2,"nuts, chocolate",1.69
1497,0.31,2.8,700,4.0,15.0,0.99693,8.22,0.55,10.3,6,cubed,15.2,"nuts, chocolate",1.36
1498,0.02,1.7,850,17.0,31.0,0.99589,8.37,0.51,10.4,6,cubed,15.2,"nuts,raisins",1.85
1499,0.2,16.7,460,50.0,184.0,0.99898,8.08,0.56,9.4,7,melted,14.0,"nuts, chocolate",1.67
1500,0.21,1.8,490,35.0,163.0,0.9924,8.31,0.5,10.3,8,melted,12.6,"chocolate, oats",1.63
1501,0.14,5.0,460,48.0,198.0,0.9937,8.3,0.71,10.3,7,melted,11.2,raisins,1.93
1502,0.26,5.1,510,16.0,119.0,0.99416,8.15,0.41,9.2,7,melted,12.0,raisins,1.89
1503,0.24,6.8,570,41.0,163.0,0.9949,8.2,0.41,9.9,8,melted,14.6,"nuts, chocolate",1.29
1504,0.29,0.8,430,20.0,67.0,0.99112,8.28,0.48,9.9,8,melted,11.2,"chocolate, oats",1.2
1505,0.32,9.6,520,24.0,90.0,0.9963,8.35,0.49,9.4,8,melted,12.8,"chocolate, oats",1.97
1506,0.22,12.8,390,51.0,150.0,0.99535,8.23,0.43,10.7,8,melted,12.8,chocolate,1.88
1507,0.08,4.4,860,6.0,29.0,0.9974,8.38,0.5,9.0,4,cubed,14.8,"nuts,raisins",1.61
1508,0.3,6.4,480,40.0,251.0,0.9956,8.29,0.52,10.0,7,melted,13.4,"chocolate, oats",1.67
1509,0.2,3.4,460,9.0,116.0,0.9944,8.15,0.41,9.4,7,melted,15.2,raisins,1.49
1510,0.26,12.7,460,60.0,143.0,0.99526,8.26,0.35,10.8,8,melted,12.6,chocolate,1.61
1511,0.0,2.0,840,9.0,22.0,0.99619,8.33,0.68,10.9,6,cubed,15.8,"nuts, oats",1.31
1512,0.26,2.0,1010,16.0,72.0,0.9957,8.15,0.57,9.4,5,cubed,14.8,"nuts,raisins",1.81
1513,0.49,4.9,400,44.0,118.0,0.9935,8.34,0.38,9.5,9,melted,11.6,"chocolate, oats",1.82
1514,0.37,1.5,270,37.0,93.0,0.992,8.3,0.45,10.8,8,melted,13.6,"chocolate, oats",1.47
1515,0.27,8.6,440,45.0,104.0,0.99454,8.2,0.37,9.9,8,melted,13.6,"chocolate, oats",1.63
1516,0.31,18.3,460,40.0,142.0,1.0,8.3,0.41,8.7,7,melted,13.6,chocolate,1.23
1517,0.11,1.9,900,16.0,63.0,0.9965,8.19,0.82,9.6,5,cubed,16.8,"nuts, oats",1.24
1518,0.15,10.8,330,26.0,120.0,0.99494,8.25,0.49,10.0,8,melted,11.6,raisins,1.52
1519,0.23,4.6,610,50.5,238.5,0.9958,8.32,0.6,9.5,7,melted,13.6,raisins,1.06
1520,0.36,2.0,450,24.0,131.0,0.99284,8.3,0.59,10.5,8,melted,13.4,"chocolate, oats",1.96
1521,0.38,3.4,400,41.0,143.0,0.9932,7.95,0.39,10.2,8,melted,17.2,"chocolate, oats",1.65
1522,0.36,2.0,520,18.0,141.0,0.99273,8.38,0.53,10.5,8,melted,12.8,raisins,1.48
1523,0.31,2.3,1120,11.0,38.0,0.99699,8.24,0.56,10.9,5,cubed,18.4,"nuts,raisins",1.04
1524,0.35,1.5,470,40.0,117.0,0.99111,8.07,0.72,11.1,8,melted,13.6,"chocolate, oats",1.44
1525,0.27,18.15,420,41.0,146.0,1.0001,8.3,0.36,8.7,7,melted,13.6,chocolate,1.42
1526,0.29,5.8,250,26.0,74.0,0.9929,8.28,0.53,11.0,8,melted,13.4,chocolate,1.09
1527,0.18,11.8,510,26.0,126.0,0.9975,8.23,0.48,9.1,7,melted,13.8,"nuts, chocolate",1.64
1528,0.05,1.9,740,8.0,19.0,0.9962,8.34,0.95,10.5,6,cubed,16.0,"nuts, oats",1.3
1529,0.26,8.6,480,47.0,206.0,0.9964,8.26,0.36,9.1,7,melted,14.8,raisins,1.73
1530,0.65,10.4,500,76.0,192.0,0.9976,8.16,0.42,8.7,7,melted,14.4,"nuts, chocolate",1.13
1531,0.32,4.2,400,37.0,117.0,0.99182,8.24,0.43,11.3,8,melted,12.6,"chocolate, oats",1.55
1532,0.15,1.8,890,10.0,52.0,0.9968,8.23,0.77,9.5,5,cubed,16.6,"nuts, oats",1.21
1533,0.57,10.7,560,66.0,171.0,0.99464,8.25,0.61,10.4,9,melted,11.2,chocolate,1.77
1534,0.36,16.3,380,43.0,133.0,0.99924,8.26,0.41,8.8,7,melted,13.0,chocolate,1.91
1535,0.3,1.2,290,25.0,93.0,0.98742,8.31,0.4,13.6,9,melted,10.6,raisins,1.13
1536,0.21,2.7,970,29.0,65.0,0.9988,8.28,0.58,9.6,5,cubed,18.4,"nuts, oats, chocolate",1.07
1537,0.0,1.4,630,11.0,18.0,0.99191,8.45,0.56,12.2,6,cubed,11.4,"nuts, oats, chocolate",1.49
1538,0.38,2.3,330,28.0,111.0,0.98962,8.16,0.49,12.4,8,melted,12.2,"chocolate, oats",1.32
1539,0.28,1.9,240,64.0,106.0,0.98993,8.45,0.6,12.6,10,melted,13.6,raisins,1.11
1540,0.24,2.8,920,14.0,45.0,0.998,8.19,0.73,10.0,6,cubed,18.8,"nuts, chocolate",1.32
1541,0.44,9.3,310,35.0,137.0,0.9946,8.16,0.36,10.4,8,melted,13.6,chocolate,1.11
1542,0.32,1.9,360,27.0,119.0,0.99196,8.15,0.49,11.2,8,melted,14.8,raisins,1.03
1543,0.22,2.8,480,53.0,173.0,0.99304,8.24,0.45,9.8,7,melted,12.6,raisins,1.82
1544,0.31,2.2,900,13.0,62.0,0.9966,8.07,0.63,10.5,6,cubed,18.8,"nuts, chocolate",1.02
1545,0.46,13.6,520,38.0,118.0,0.998,8.15,0.5,10.0,8,melted,15.6,"chocolate, oats",1.33
1546,0.24,1.5,360,38.0,124.0,0.9898,8.29,0.42,12.4,9,melted,12.2,raisins,1.03
1547,0.37,1.4,760,8.0,23.0,0.9974,8.26,0.7,9.6,6,cubed,16.6,chocolate,1.18
1548,0.36,2.0,310,27.0,139.0,0.99055,8.28,0.48,12.5,11,melted,14.8,chocolate,1.12
1549,0.27,1.5,290,37.0,81.0,0.9892,8.2,0.46,12.2,8,melted,11.8,chocolate,1.59
1550,0.27,7.1,490,8.0,178.0,0.99502,8.16,0.38,9.4,6,melted,13.4,"nuts,raisins",1.19
1551,0.24,2.85,940,35.0,106.0,0.9982,8.1,0.53,9.2,5,cubed,17.8,"nuts, chocolate",1.35
1552,0.27,10.8,500,58.0,116.0,0.99592,8.1,0.5,9.8,8,melted,11.4,chocolate,1.42
1553,0.0,2.2,650,28.0,52.0,0.99378,8.49,0.52,11.6,5,cubed,12.8,"nuts, oats",1.1
1554,0.41,2.0,910,6.0,16.0,0.998,8.28,0.7,9.7,5,cubed,18.6,chocolate,1.7
1555,0.26,7.4,690,28.0,160.0,0.9954,8.13,0.46,9.8,8,melted,14.0,raisins,1.98
1556,0.03,1.9,860,14.0,57.0,0.9969,8.37,0.46,10.3,5,cubed,15.2,"nuts, oats, chocolate",1.01
1557,0.29,1.0,320,27.0,96.0,0.9896,8.38,0.44,12.3,8,melted,12.0,chocolate,1.25
1558,0.04,3.0,770,7.0,27.0,0.9987,8.69,0.91,9.4,6,cubed,13.8,"nuts,raisins",1.2
1559,0.49,2.6,590,5.0,13.0,0.9976,8.05,0.74,10.5,7,cubed,20.4,chocolate,1.05
1560,0.22,4.5,300,30.0,102.0,0.9938,8.24,0.36,9.4,8,melted,11.0,"chocolate, oats",1.15
1561,0.27,2.8,670,8.0,44.0,0.99384,8.21,0.56,12.0,6,cubed,13.0,raisins,1.52
1562,0.32,14.45,740,29.0,107.0,0.998,7.96,0.42,9.2,8,melted,14.2,chocolate,1.43
1563,0.66,10.8,510,77.0,194.0,0.9976,8.05,0.46,8.7,7,melted,14.8,"nuts, chocolate",1.22
1564,0.29,15.3,440,39.0,194.0,0.9982,8.06,0.47,9.6,9,melted,15.4,chocolate,1.71
1565,0.41,1.6,520,24.0,126.0,0.99228,8.19,0.49,10.8,7,melted,14.4,"chocolate, oats",1.97
1566,0.38,9.2,580,66.0,243.0,0.99833,8.23,0.54,9.1,8,melted,13.2,"nuts, chocolate",1.43
1567,0.4,14.55,470,47.0,156.0,0.99945,8.34,0.78,9.1,8,melted,14.2,"chocolate, oats",1.07
1568,0.04,1.9,1460,27.0,90.0,0.9984,8.16,0.7,9.4,5,cubed,18.0,"nuts, oats, chocolate",1.62
1569,0.3,8.4,510,40.0,167.0,0.99756,8.48,0.62,9.7,7,melted,14.4,raisins,1.59
1570,0.6,3.0,1040,10.0,22.0,0.99828,8.39,0.68,10.6,5,cubed,16.4,chocolate,1.13
1571,0.4,1.4,360,14.0,55.0,0.9909,8.08,0.68,11.5,9,melted,13.8,"chocolate, oats",1.01
1572,0.36,2.8,340,22.0,112.0,0.99,8.19,0.38,12.6,10,melted,14.0,chocolate,1.19
1573,0.32,8.3,450,38.0,126.0,0.9958,8.21,0.34,9.2,7,melted,14.0,"chocolate, oats",1.13
1574,0.4,2.1,330,34.0,111.0,0.98924,7.97,0.48,12.2,9,melted,13.4,raisins,1.32
1575,0.0,1.8,500,27.0,63.0,0.9916,8.68,0.79,14.0,6,cubed,10.4,raisins,1.92
1576,0.49,1.8,1150,20.0,112.0,0.9968,8.21,0.71,9.3,5,cubed,15.4,"nuts, oats, chocolate",1.76
1577,0.33,6.0,360,30.0,111.0,0.99362,8.32,0.58,10.13333333,9,melted,12.0,"chocolate, oats",1.69
1578,0.29,1.6,210,24.0,85.0,0.98965,8.41,0.61,12.4,11,melted,13.2,raisins,1.07
1579,0.3,9.9,410,63.0,192.0,0.99642,8.12,0.49,10.2,8,melted,14.2,raisins,1.23
1580,0.81,1.1,1370,52.0,123.0,0.9932,8.03,0.39,9.2,8,melted,13.8,chocolate,1.56
1581,0.3,2.6,430,34.0,90.0,0.99047,7.88,0.47,11.2,8,melted,14.0,"chocolate, oats",1.03
1582,0.23,1.9,170,31.0,69.0,0.9892,7.93,0.36,12.5,8,melted,14.8,raisins,1.68
1583,0.25,9.8,400,28.0,191.0,0.9971,8.28,0.61,9.2,7,melted,13.8,raisins,1.49
1584,0.4,1.5,670,17.0,100.0,0.9957,8.27,0.57,10.1,8,melted,17.4,"nuts, chocolate",1.69
1585,0.23,5.4,510,25.0,149.0,0.9934,8.24,0.35,10.0,7,melted,13.0,raisins,1.94
1586,0.27,1.2,410,27.0,99.0,0.9927,8.19,0.33,9.8,8,melted,14.8,chocolate,1.61
1587,0.34,15.4,500,38.0,174.0,0.9983,8.03,0.42,9.0,8,melted,14.6,chocolate,1.62
1588,0.5,2.7,1220,4.0,17.0,1.0006,8.13,0.7,10.2,5,cubed,22.8,"nuts, chocolate",1.15
1589,0.24,7.8,520,54.0,214.0,0.9961,8.13,0.47,8.9,7,melted,13.6,chocolate,1.14
1590,0.4,14.55,470,47.0,156.0,0.99945,8.34,0.78,9.1,8,melted,14.2,"chocolate, oats",1.88
1591,0.47,8.4,420,36.0,156.0,0.99604,8.15,0.55,9.4,8,melted,13.8,chocolate,1.87
1592,0.47,1.3,390,21.0,123.0,0.9959,7.9,0.64,9.5,7,melted,19.0,chocolate,1.5
1593,0.28,7.8,380,26.0,89.0,0.9915,8.24,0.34,12.5,8,melted,13.6,chocolate,1.51
1594,0.24,19.95,740,32.0,174.0,0.99922,8.19,0.44,9.3,8,melted,12.2,chocolate,1.8
1595,0.27,5.0,1570,17.0,129.0,0.99396,8.03,0.36,9.3,7,melted,12.0,"nuts, chocolate",1.5
1596,0.52,1.8,1320,17.0,44.0,0.99734,8.28,0.77,11.5,6,cubed,21.8,raisins,1.17
1597,0.46,1.0,230,6.0,80.0,0.98865,8.15,0.54,12.9,8,melted,13.0,raisins,1.15
1598,0.16,5.9,480,14.0,125.0,0.99428,8.09,0.49,9.8,7,melted,14.4,"nuts, chocolate",1.36
1599,0.25,1.7,420,48.0,189.0,0.992,8.25,0.42,11.4,8,melted,14.0,chocolate,1.9
1600,0.49,1.8,500,17.0,128.0,0.9946,8.31,0.58,10.6,6,melted,14.2,"nuts, oats, chocolate",1.71
1601,0.24,2.1,780,1.0,28.0,0.999,8.41,0.87,10.3,6,cubed,18.2,chocolate,1.62
1602,0.58,1.9,710,5.0,18.0,0.998,8.09,0.63,10.0,6,cubed,23.8,"nuts,raisins",1.44
1603,0.24,4.1,510,34.0,149.0,0.99306,8.36,0.52,11.0,7,melted,12.4,raisins,1.62
1604,0.37,7.0,380,27.0,107.0,0.99206,7.98,0.82,11.5,8,melted,13.6,chocolate,1.57
1605,0.3,5.0,280,34.0,120.0,0.99242,7.94,0.47,11.2,7,melted,17.6,"chocolate, oats",1.02
1606,0.42,2.6,440,29.0,110.0,0.9912,8.31,0.51,12.7,8,melted,15.2,chocolate,1.93
1607,0.33,8.1,480,45.0,176.0,0.99472,8.11,0.52,10.1,8,melted,13.4,chocolate,1.25
1608,0.39,12.1,400,61.0,248.0,0.99794,8.31,0.58,9.7,7,melted,13.4,"nuts, chocolate",1.25
1609,0.27,7.1,270,37.0,122.0,0.99165,8.15,0.6,12.6,9,melted,14.0,raisins,1.19
1610,0.06,2.0,830,8.0,29.0,0.99855,8.67,0.73,9.6,5,cubed,14.2,"nuts, oats, chocolate",1.19
1611,0.28,11.45,410,29.0,109.0,0.99418,7.98,0.3,10.9,8,melted,13.0,raisins,1.26
1612,0.22,10.7,420,26.0,81.0,0.9954,7.86,0.36,9.7,8,melted,14.8,chocolate,1.28
1613,0.45,1.7,460,22.0,113.0,0.99224,8.22,0.48,10.0,7,melted,11.0,chocolate,1.85
1614,0.42,14.6,440,45.0,163.0,1.0003,8.21,0.69,8.6,9,melted,16.0,chocolate,1.15
1615,0.38,2.9,380,19.0,102.0,0.9912,8.17,0.35,11.0,9,melted,12.8,raisins,1.43
1616,0.4,1.6,320,35.0,110.0,0.9907,8.02,0.6,12.9,9,melted,16.6,chocolate,1.98
1617,0.4,2.8,360,35.0,167.0,0.9956,7.97,0.39,9.2,7,melted,19.6,"nuts, chocolate",1.62
1618,0.24,6.3,540,34.0,231.0,0.9964,8.36,0.54,10.0,8,melted,14.6,"chocolate, oats",1.56
1619,0.48,1.8,770,29.0,60.0,0.9968,8.39,0.53,9.4,6,cubed,17.8,chocolate,1.87
1620,0.71,1.5,1520,9.0,55.0,0.9927,8.12,0.46,9.8,8,melted,12.0,"chocolate, oats",1.02
1621,0.12,2.0,750,32.0,44.0,0.99547,8.57,0.71,10.2,5,cubed,11.8,"nuts, oats, chocolate",1.78
1622,0.32,5.4,470,29.0,140.0,0.995,8.39,0.46,9.7,8,melted,13.4,chocolate,1.66
1623,0.32,12.9,540,6.0,113.0,0.99572,8.3,0.56,11.5,4,cubed,12.0,raisins,1.89
1624,0.49,5.0,280,32.0,107.0,0.9936,8.24,0.54,10.8,8,melted,14.6,chocolate,1.37
1625,0.52,6.2,280,37.0,104.0,0.99161,8.28,0.51,11.8,9,melted,12.0,chocolate,1.15
1626,0.29,4.6,290,27.0,155.0,0.9931,8.07,0.26,10.6,8,melted,14.6,chocolate,1.52
1627,0.31,1.6,400,39.0,173.0,0.9918,8.19,0.51,11.4,8,melted,14.6,chocolate,1.92
1628,0.24,1.7,500,10.0,112.0,0.99286,8.11,0.43,9.9,7,melted,14.6,chocolate,1.07
1629,0.26,14.95,670,47.0,178.0,0.99838,8.04,0.49,9.2,6,melted,15.0,chocolate,1.91
1630,0.49,7.1,420,22.0,124.0,0.9944,8.14,0.41,10.8,8,melted,16.2,chocolate,1.7
1631,0.33,1.7,370,35.0,113.0,0.99164,8.23,0.66,10.6,8,melted,12.8,chocolate,1.22
1632,0.43,3.2,350,14.0,101.0,0.9928,8.15,0.36,11.5,7,melted,16.6,chocolate,1.67
1633,0.57,1.4,2080,14.0,96.0,0.9932,8.16,0.43,10.0,8,melted,12.6,chocolate,1.57
1634,0.27,4.2,310,20.0,80.0,0.99089,8.12,0.39,11.5,8,melted,13.8,chocolate,1.69
1635,0.16,2.1,740,8.0,25.0,0.99606,8.37,0.55,9.7,5,cubed,14.0,"nuts, oats, chocolate",1.43
1636,0.27,2.3,840,31.0,145.0,0.9978,8.24,0.53,9.4,5,cubed,19.0,"chocolate, peanut butter",1.16
1637,0.3,2.2,530,36.0,127.0,0.9965,7.94,1.62,9.5,5,cubed,14.2,raisins,1.43
1638,0.57,2.3,870,6.0,20.0,0.99676,8.14,0.72,11.1,7,cubed,21.2,raisins,1.69
1639,0.23,12.4,480,33.0,201.0,0.99612,8.11,0.56,9.9,8,melted,12.4,chocolate,1.84
1640,0.44,11.6,410,48.0,195.0,0.9968,8.18,0.52,9.5,7,melted,12.6,chocolate,1.6
1641,0.37,4.9,340,26.0,127.0,0.9928,8.17,0.44,10.8,8,melted,14.0,chocolate,1.11
1642,0.24,3.2,370,31.0,95.0,0.98942,7.9,0.66,12.6,9,melted,12.8,chocolate,1.96
1643,0.45,2.6,1190,34.0,68.0,0.99708,8.23,0.72,10.9,6,cubed,21.2,"nuts,raisins",1.6
1644,0.49,9.3,300,26.0,132.0,0.994,7.99,0.32,11.0,9,melted,14.8,"chocolate, oats",1.71
1645,0.26,1.9,790,13.0,28.0,0.99712,8.25,0.62,10.0,5,cubed,19.0,"chocolate, peanut butter",1.08
1646,0.49,7.3,450,61.0,206.0,0.9957,8.09,0.4,9.0,8,melted,13.8,raisins,1.16
1647,0.0,2.2,890,13.0,26.0,0.9978,8.37,0.46,9.6,4,cubed,16.4,"nuts, oats",1.04
1648,0.0,2.1,750,12.0,56.0,0.9968,8.49,0.67,9.2,5,cubed,13.2,"nuts, oats, chocolate",1.15
1649,0.4,1.7,210,18.0,82.0,0.9891,8.24,0.95,13.13333333,8,melted,12.0,chocolate,1.48
1650,0.49,1.2,550,18.0,150.0,0.9917,8.23,0.47,11.2,8,melted,14.8,"chocolate, oats",1.68
1651,0.44,3.5,290,5.0,109.0,0.9913,8.53,0.43,11.7,5,melted,11.6,chocolate,1.41
1652,0.38,16.05,580,16.0,165.0,0.9997,8.38,0.6,9.2,7,melted,13.2,raisins,1.55
1653,0.21,1.1,320,31.0,111.0,0.9889,7.97,0.42,12.2,8,melted,12.4,raisins,1.97
1654,0.25,5.0,240,52.0,99.0,0.9925,7.87,0.49,11.4,7,melted,17.6,chocolate,1.79
1655,0.4,1.1,580,30.0,93.0,0.99322,8.03,0.38,9.2,8,melted,14.0,chocolate,1.32
1656,0.36,8.6,370,63.0,206.0,0.99553,8.18,0.5,9.6,7,melted,13.4,chocolate,1.4
1657,0.24,1.8,660,18.0,47.0,0.9956,8.37,0.62,10.4,5,cubed,14.8,"nuts, chocolate",1.44
1658,0.31,2.0,300,38.0,142.0,0.98892,8.4,0.41,12.9,9,melted,11.8,raisins,1.38
1659,0.34,3.6,820,5.0,14.0,0.9987,8.29,0.52,10.7,6,cubed,18.8,"nuts,raisins",1.48
1660,0.4,1.8,620,7.0,20.0,0.9941,8.28,0.7,11.1,5,cubed,15.8,"chocolate, oats",1.76
1661,0.08,3.75,670,8.0,16.0,0.99334,8.43,0.52,12.6,5,cubed,13.4,"nuts, oats",1.87
1662,0.11,2.2,480,16.0,89.0,0.99182,8.54,0.88,13.6,7,cubed,10.6,"nuts, chocolate",1.92
1663,0.33,12.3,460,31.0,145.0,0.9983,8.36,0.4,9.5,7,melted,13.4,chocolate,1.76
1664,0.2,2.4,590,19.0,112.0,0.99314,8.18,0.4,9.2,8,melted,12.8,"nuts,raisins",1.49
1665,0.49,18.05,460,36.0,158.0,0.9996,8.06,0.41,9.2,7,melted,15.2,"chocolate, oats",1.59
1666,0.14,2.4,640,13.0,29.0,0.99397,8.42,0.62,11.7,7,cubed,13.2,"nuts,raisins",1.32
1667,0.24,3.3,340,29.0,99.0,0.99031,8.1,0.4,12.3,9,melted,13.2,raisins,1.13
1668,0.45,1.5,390,18.0,98.0,0.99215,8.02,0.56,11.0,8,melted,16.6,"chocolate, oats",1.69
1669,0.19,13.7,520,47.0,197.0,0.99865,8.12,0.53,9.0,7,melted,14.4,chocolate,1.82
1670,0.3,2.5,410,29.0,82.0,0.99065,8.31,0.61,11.8,9,melted,12.4,raisins,1.7
1671,0.36,16.3,380,43.0,133.0,0.99924,8.26,0.41,8.8,7,melted,13.0,chocolate,1.77
1672,0.12,4.5,500,23.0,86.0,0.99398,7.86,0.35,9.0,7,melted,14.0,"nuts, chocolate",1.88
1673,0.26,1.7,330,36.0,136.0,0.99316,8.44,0.51,10.4,9,melted,16.0,chocolate,1.35
1674,0.34,2.0,410,14.0,73.0,0.98981,8.04,0.45,11.6,9,melted,11.2,chocolate,1.75
1675,0.33,6.7,2350,66.0,115.0,0.99787,8.22,0.56,9.5,5,cubed,13.8,"nuts, oats, chocolate",1.22
1676,0.36,5.5,290,30.0,105.0,0.99206,8.2,0.47,11.8,8,melted,13.2,chocolate,1.61
1677,0.2,11.4,440,45.0,131.0,0.99604,7.96,0.51,9.7,8,melted,13.2,chocolate,1.45
1678,0.32,13.4,440,35.0,169.0,0.99975,8.12,0.47,8.8,9,melted,17.4,chocolate,1.02
1679,0.44,6.5,560,31.0,161.0,0.9952,8.14,0.44,9.5,7,melted,13.6,raisins,1.73
1680,0.32,1.5,300,24.0,101.0,0.98923,8.21,0.42,13.0,7,melted,12.6,raisins,1.49
1681,0.24,12.1,560,68.0,210.0,0.99718,8.05,0.5,9.5,7,melted,14.0,"nuts, chocolate",1.38
1682,0.13,2.5,970,24.0,66.0,0.99785,8.39,0.61,9.4,5,cubed,15.2,"nuts,raisins",1.55
1683,0.48,2.1,970,39.0,145.0,0.9975,8.04,1.03,9.3,5,cubed,17.6,raisins,1.91
1684,0.03,2.3,780,16.0,86.0,0.99743,8.53,0.57,9.7,5,cubed,14.4,"nuts, oats, chocolate",1.07
1685,0.29,11.8,350,21.0,93.0,0.99364,8.18,0.34,11.9,8,melted,12.4,chocolate,1.67
1686,0.27,2.0,800,11.0,63.0,0.99652,8.29,0.48,9.8,4,cubed,16.0,"chocolate, peanut butter",1.32
1687,0.07,3.4,1020,32.0,71.0,1.00015,8.31,0.71,9.8,5,cubed,19.8,"nuts,raisins",1.5
1688,0.26,12.5,490,52.5,120.0,0.99691,8.08,0.45,9.4,8,melted,11.4,chocolate,1.37
1689,0.0,2.1,480,16.0,42.0,0.99154,8.71,0.74,14.0,7,cubed,9.8,"nuts, chocolate",1.81
1690,0.35,4.9,280,27.0,95.0,0.9932,8.04,0.4,11.3,8,melted,18.0,chocolate,1.27
1691,0.39,11.9,570,51.0,221.0,0.99851,8.26,0.51,8.9,8,melted,13.2,raisins,1.79
1692,0.28,7.8,500,43.0,116.0,0.99326,8.22,0.6,11.5,10,melted,13.8,chocolate,1.91
1693,0.14,3.9,600,27.0,113.0,0.99344,8.07,0.34,9.2,6,melted,12.2,raisins,1.55
1694,0.19,4.7,460,57.0,161.0,0.9946,8.32,0.66,10.5,8,melted,13.4,"chocolate, oats",1.09
1695,0.47,6.3,690,35.0,182.0,0.99391,8.11,0.46,9.733333333,7,melted,11.4,chocolate,1.02
1696,0.22,1.8,780,21.0,56.0,0.99633,8.52,0.6,9.5,6,cubed,12.4,"nuts, chocolate",1.18
1697,0.44,7.4,450,47.0,182.0,0.9957,8.24,0.46,9.1,7,melted,12.8,chocolate,1.14
1698,0.11,1.8,730,13.0,38.0,0.9955,8.34,0.52,9.3,5,cubed,13.0,"nuts,raisins",1.12
1699,0.47,2.0,610,6.0,11.0,0.99585,8.23,0.52,12.0,6,cubed,20.0,raisins,1.44
1700,0.38,7.8,310,54.0,216.0,0.99154,8.03,0.42,13.1,8,melted,13.0,chocolate,1.43
1701,0.26,11.1,300,43.5,171.0,0.9948,8.03,0.49,12.0,7,melted,17.2,raisins,1.18
1702,0.36,2.5,480,16.0,125.0,0.99282,8.49,0.49,10.0,8,melted,11.2,chocolate,1.49
1703,0.25,0.7,390,15.0,89.0,0.9919,8.22,0.43,9.2,8,melted,10.2,"chocolate, oats",1.35
1704,0.49,3.2,270,28.0,87.0,0.9919,8.03,0.32,11.3,9,melted,15.6,chocolate,1.96
1705,0.49,12.3,490,50.0,144.0,0.9971,8.09,0.57,10.2,9,melted,16.2,raisins,1.18
1706,0.27,13.9,570,45.0,155.0,0.99807,7.94,0.41,8.8,10,melted,14.6,"chocolate, oats",1.64
1707,0.49,0.9,520,26.0,128.0,0.991,8.25,0.35,11.4,8,melted,13.6,chocolate,1.97
1708,0.46,1.4,590,11.0,25.0,0.9966,8.36,0.76,10.1,6,cubed,17.4,raisins,1.46
1709,0.51,15.3,470,54.0,171.0,0.9987,8.09,0.51,9.1,7,melted,15.8,raisins,1.47
1710,0.42,1.8,770,6.0,22.0,0.9976,8.21,1.05,10.8,7,cubed,21.0,chocolate,1.73
1711,0.42,1.6,470,9.0,101.0,0.994,8.06,0.65,11.1,6,melted,16.8,"chocolate, oats",1.85
1712,0.47,15.2,570,40.0,234.0,1.0005,8.02,0.66,9.0,7,melted,17.0,chocolate,1.05
1713,0.74,15.6,440,44.0,176.0,0.9996,8.38,0.67,9.0,8,melted,14.2,"chocolate, oats",1.3
1714,0.12,3.0,670,12.0,53.0,0.9971,8.36,0.57,9.1,5,cubed,15.2,"nuts,raisins",1.9
1715,0.0,3.3,960,26.0,61.0,1.00025,8.6,0.72,9.8,4,cubed,16.2,"chocolate, peanut butter",1.55
1716,0.33,11.1,520,52.5,158.0,0.9976,8.03,0.49,10.2,9,melted,16.2,chocolate,1.1
1717,0.37,5.4,260,27.0,114.0,0.99174,8.13,0.84,12.7,7,melted,14.4,chocolate,1.02
1718,0.41,1.45,330,11.0,63.0,0.9908,7.99,0.56,12.0,7,melted,16.2,chocolate,1.45
1719,0.24,3.9,450,36.0,138.0,0.9922,8.15,0.64,11.3,9,melted,13.2,chocolate,1.47
1720,0.37,3.0,610,25.0,178.0,0.995,8.22,0.51,10.0,8,melted,15.8,"chocolate, oats",1.39
1721,0.38,0.9,370,3.0,75.0,0.9904,8.28,0.34,11.4,6,melted,11.6,raisins,1.58
1722,0.19,7.7,490,47.0,184.0,0.99514,8.22,0.48,9.5,7,melted,12.6,raisins,1.7
1723,0.14,7.5,440,34.0,133.0,0.9955,8.22,0.5,9.5,7,melted,13.0,raisins,1.14
1724,0.26,9.6,270,20.0,104.0,0.9924,8.22,0.73,13.1,8,melted,12.8,"nuts,raisins",1.21
